index,date,pm25_min,pm10_min,o3_min,no2_min,co_min,aqi_min,pm25_max,pm10_max,o3_max,no2_max,co_max,aqi_max,pm25_mean,pm10_mean,o3_mean,no2_mean,co_mean,aqi_mean,temp_min,dwpt_min,rhum_min,prcp_min,snow_min,wdir_min,wspd_min,pres_min,coco_min,temp_max,dwpt_max,rhum_max,prcp_max,snow_max,wdir_max,wspd_max,pres_max,coco_max,temp_mean,dwpt_mean,rhum_mean,prcp_mean,snow_mean,wdir_mean,wspd_mean,pres_mean,coco_mean
0,2024-06-09,15.0,12.0,0.007,0.009,1.0,57.1,34.0,42.0,0.033,0.038,5.0,97.06,24.583333333333332,21.916666666666668,0.019625115036515806,0.022500000000000003,2.4166666666666665,77.25166666666667,13.7,6.7,39.0,0.0,0.0,0.0,0.0,1008.8,2.0,21.2,10.7,82.0,0.0,0.0,300.0,4.0,1010.3,3.0,17.75,8.889999999999999,58.1,0.0,0.0,180.3,1.1300000000000001,1009.5200000000001,2.5
1,2024-06-10,33.0,11.0,0.0111538461538461,0.009,2.0,94.95,52.0,40.0,0.0146593406593406,0.03,4.0,141.63,42.6,24.0,0.0135419980932309,0.020399999999999998,2.6,118.506,14.2,10.5,48.0,0.0,0.0,0.0,0.0,1007.6,2.0,22.8,16.2,95.0,0.0,0.0,210.0,7.0,1012.1,7.0,19.158333333333335,13.295833333333334,70.45833333333333,0.0,0.0,137.625,2.4125,1010.2458333333334,4.041666666666667
2,2024-06-11,34.0,19.0,0.0111538461538461,0.011,1.0,97.06,49.0,24.0,0.0173673469387755,0.02,3.0,134.24,37.6,20.4,0.01415245378235588,0.0162,2.0,106.022,17.4,16.3,61.0,0.0,0.0,0.0,0.0,1004.6,4.0,25.7,18.7,98.0,0.0,0.0,200.0,7.0,1008.5,7.0,20.708333333333332,17.754166666666666,83.91666666666667,0.0,0.0,154.54166666666666,3.2375000000000003,1006.1541666666667,6.5
3,2024-06-12,40.0,8.0,0.0111538461538461,0.008,1.0,112.08,64.0,22.0,0.0181367521367521,0.02,3.0,155.39,49.0,14.6,0.013974466690083079,0.014799999999999999,1.8,131.084,18.3,17.0,54.0,0.0,0.0,0.0,0.0,1008.6,3.0,27.1,20.2,98.0,0.0,0.0,180.0,4.0,1010.2,7.0,21.34166666666667,18.304166666666667,83.79166666666667,0.0,0.0,108.20833333333333,2.1041666666666665,1009.4625,5.958333333333333
4,2024-06-13,21.0,8.0,0.0111538461538461,0.005,1.0,69.72,56.0,21.0,0.038,0.024,3.0,151.26,33.36363636363637,13.090909090909092,0.018495824419112055,0.011545454545454546,1.7272727272727273,97.32454545454544,16.2,14.8,75.0,0.0,0.0,0.0,0.0,1008.0,7.0,23.1,18.5,97.0,0.0,0.0,357.0,7.300000000000001,1009.0,7.0,18.870833333333334,17.333333333333332,90.95833333333333,0.0,0.0,220.04166666666666,4.675,1008.4291666666667,7.0
5,2024-06-14,13.0,5.0,0.0111538461538461,0.006,1.0,57.1,34.0,36.0,0.039,0.031,10.0,109.45,22.5,20.0,0.022904505717519383,0.016333333333333335,4.5,77.80083333333333,14.1,10.9,51.0,0.0,0.0,0.0,0.0,1008.9,2.0,21.6,14.0,93.0,0.0,0.0,360.0,7.300000000000001,1014.0,7.0,18.195833333333333,12.370833333333332,70.45833333333333,0.0,0.0,274.75,5.2875000000000005,1011.7333333333332,3.5
6,2024-06-15,27.0,13.0,0.001,0.007,2.0,82.33,52.0,35.0,0.058,0.029,5.0,141.63,40.75,24.5,0.019237839050852718,0.014666666666666666,3.1666666666666665,114.2625,12.7,9.6,38.0,0.0,0.0,0.0,0.0,1013.6,1.0,25.1,13.8,97.0,0.0,0.0,356.0,4.0,1016.0,3.0,19.704166666666666,12.125,64.41666666666667,0.0,0.0,65.91666666666667,1.8916666666666666,1014.4,2.4166666666666665
7,2024-06-16,23.0,11.0,0.0111538461538461,0.005,1.0,73.92,66.0,36.0,0.025,0.021,5.0,156.42,39.9,21.1,0.01657789859377129,0.0118,2.1,110.545,14.5,12.9,48.0,0.0,0.0,0.0,0.0,1013.0,2.0,25.4,15.1,90.0,0.0,0.0,80.0,5.5,1016.5,7.0,21.97083333333333,14.154166666666667,62.541666666666664,0.0,0.0,52.833333333333336,3.6041666666666665,1015.0791666666668,2.9583333333333335
8,2024-06-17,23.0,9.0,0.0111538461538461,0.006,1.0,73.92,47.0,24.0,0.0245806451612903,0.021,3.0,129.32,39.44444444444444,16.11111111111111,0.016346627253152477,0.012666666666666666,1.8888888888888888,111.21555555555557,17.3,13.2,63.0,0.0,0.0,0.0,0.0,1007.5,3.0,22.7,20.1,99.0,0.0,0.0,147.0,5.5,1012.5,7.0,20.708333333333332,17.625,82.95833333333333,0.0,0.0,88.66666666666667,3.5416666666666665,1009.6458333333334,5.583333333333333
9,2024-06-18,15.0,8.0,0.0111538461538461,0.006,1.0,57.1,53.0,21.0,0.029,0.018,3.0,144.09,30.875,14.5,0.018139955659796536,0.01025,1.25,91.49000000000001,16.7,14.9,79.0,0.0,0.0,0.0,0.0,1006.2,2.0,22.2,19.6,97.0,0.0,0.0,310.0,7.0,1011.9,7.0,19.900000000000002,17.520833333333332,86.33333333333333,0.0,0.0,206.0,3.2416666666666667,1007.9458333333333,4.958333333333333
10,2024-06-19,14.0,10.0,0.0111538461538461,0.007,1.0,55.0,35.0,21.0,0.0245806451612903,0.018,2.0,99.16,27.285714285714285,14.0,0.01763770249208033,0.012428571428571428,1.1428571428571428,82.93714285714285,16.4,12.4,46.0,0.0,0.0,0.0,0.0,1008.4,1.0,25.6,15.9,90.0,0.0,0.0,310.0,7.0,1014.0,3.0,21.791666666666668,14.15,63.375,0.0,0.0,243.70833333333334,3.4166666666666665,1012.1416666666668,2.4166666666666665
11,2024-06-20,17.0,7.0,0.0111538461538461,0.004,1.0,61.3,31.0,16.0,0.028,0.018,2.0,90.75,27.5,11.333333333333334,0.018221194217968365,0.0095,1.1666666666666667,83.38666666666667,13.2,10.6,70.0,0.0,0.0,0.0,0.0,998.3,2.0,24.0,18.2,88.0,0.0,0.0,330.0,7.300000000000001,1008.3,7.0,17.6125,13.908333333333333,79.20833333333333,0.0,0.0,234.58333333333334,3.483333333333334,1004.1458333333334,4.875
12,2024-06-21,9.0,11.0,0.0111538461538461,0.006,1.0,37.5,29.0,22.0,0.03,0.016,3.0,86.54,21.09090909090909,16.09090909090909,0.018863024695636235,0.011818181818181818,1.4545454545454546,68.56727272727272,13.1,8.1,44.0,0.0,0.0,0.0,0.0,1008.6,1.0,21.3,11.8,84.0,0.0,0.0,323.0,7.300000000000001,1010.1,3.0,17.4375,9.762500000000001,62.25,0.0,0.0,282.7916666666667,4.8875,1009.4791666666666,2.125
13,2024-06-22,15.0,14.0,0.0111538461538461,0.009,1.0,57.1,36.0,30.0,0.031,0.021,6.0,102.23,28.666666666666668,19.833333333333332,0.020041105970999885,0.014,3.0833333333333335,86.31333333333333,12.6,6.6,38.0,0.0,0.0,0.0,0.0,1008.9,1.0,21.5,11.7,87.0,0.0,0.0,354.0,7.300000000000001,1010.0,3.0,17.662499999999998,9.666666666666666,61.75,0.0,0.0,281.875,4.316666666666667,1009.4499999999999,1.875
14,2024-06-23,24.0,10.0,0.0111538461538461,0.006,1.0,76.03,49.0,34.0,0.031,0.024,3.0,134.24,36.42857142857143,18.785714285714285,0.01744617395594603,0.012499999999999999,1.7857142857142858,104.02,11.6,7.9,42.0,0.0,0.0,0.0,0.0,1007.7,1.0,21.9,12.9,91.0,0.0,0.0,356.0,7.0,1009.7,3.0,18.162499999999998,9.6,59.625,0.0,0.0,172.20833333333334,3.1666666666666665,1008.6374999999999,2.1666666666666665
15,2024-06-24,15.0,8.0,0.0111538461538461,0.005,1.0,57.1,38.0,32.0,0.0245806451612903,0.021,3.0,107.16,28.6,16.533333333333335,0.016683095692216297,0.010933333333333333,1.2666666666666666,85.92599999999999,11.6,8.1,47.0,0.0,0.0,0.0,0.0,1009.6,1.0,20.4,10.9,88.0,0.0,0.0,360.0,7.300000000000001,1012.9,3.0,17.204166666666666,9.35,61.25,0.0,0.0,141.08333333333334,4.6875,1010.5583333333334,2.375
16,2024-06-25,13.0,7.0,0.0111538461538461,0.006,1.0,52.89,36.0,38.0,0.0245806451612903,0.02,3.0,102.23,26.615384615384617,17.53846153846154,0.016216026165011478,0.012461538461538461,1.3076923076923077,81.59923076923077,12.0,8.9,44.0,0.0,0.0,0.0,0.0,1012.6,2.0,21.9,12.5,82.0,0.0,0.0,351.0,7.300000000000001,1014.2,3.0,18.2625,10.104166666666666,60.333333333333336,0.0,0.0,317.9166666666667,4.779166666666667,1013.2916666666666,2.2916666666666665
17,2024-06-26,21.0,8.0,0.005,0.008,1.0,69.72,43.0,23.0,0.0245806451612903,0.021,4.0,119.47,33.25,17.5,0.014439717731818876,0.014125,2.25,96.68375,14.6,9.6,47.0,0.0,0.0,0.0,0.0,1010.8,1.0,22.4,15.0,96.0,0.0,0.0,360.0,7.300000000000001,1013.5,3.0,18.441666666666666,11.670833333333334,65.875,0.0,0.0,309.5416666666667,5.183333333333334,1012.1875,2.5
18,2024-06-27,24.0,22.0,0.0117142857142857,0.017,3.0,82.33,50.0,47.0,0.0245806451612903,0.026,12.0,143.24,35.8,29.8,0.016518346905708758,0.022600000000000002,6.6,112.07000000000001,13.7,9.8,38.0,0.0,0.0,0.0,0.0,1013.6,1.0,25.3,14.1,96.0,0.0,0.0,360.0,7.300000000000001,1016.9,2.0,20.633333333333333,11.929166666666667,60.333333333333336,0.0,0.0,222.91666666666666,4.245833333333334,1014.5708333333333,1.4166666666666667
19,2024-06-28,42.0,20.0,0.004,0.01,1.0,117.01,62.0,33.0,0.026,0.02,5.0,154.36,48.285714285714285,24.285714285714285,0.014468250861988585,0.014857142857142859,2.7142857142857144,130.78571428571428,14.0,9.1,33.0,0.0,0.0,0.0,0.0,1015.3,1.0,28.1,15.2,87.0,0.0,0.0,360.0,4.0,1017.9,2.0,22.020833333333332,12.25,57.5,0.0,0.0,152.91666666666666,1.8916666666666666,1016.6416666666668,1.2083333333333333
20,2024-06-29,32.0,10.0,0.0111538461538461,0.006,2.0,92.85,57.0,41.0,0.035,0.017,6.0,151.77,44.166666666666664,23.333333333333332,0.02026241662381738,0.01325,3.75,122.18583333333333,16.9,13.8,42.0,0.0,0.0,0.0,0.0,1012.3,1.0,29.7,20.9,100.0,0.0,0.0,347.0,4.0,1016.1,2.0,24.45,16.400000000000002,64.08333333333333,0.0,0.0,181.95833333333334,1.6500000000000001,1014.3375,1.6666666666666667
21,2024-06-30,34.0,10.0,0.011,0.007,1.0,97.06,67.0,36.0,0.041,0.025,5.0,156.94,49.857142857142854,23.928571428571427,0.020200595724653516,0.017285714285714286,2.142857142857143,131.9192857142857,19.1,16.6,46.0,0.0,0.0,0.0,0.0,1011.8,2.0,30.2,19.4,96.0,0.0,0.0,355.0,4.0,1013.9,3.0,24.474999999999998,17.891666666666666,68.75,0.0,0.0,227.375,1.8916666666666666,1012.9958333333334,2.25
