date,pm25,pm10,o3,no2,so2,co,Station name,AQI
2024-12-05,18.0,,,,,,zhulebino,63.41
2024-12-05,34.0,,,,,,zelen,97.06
2024-12-05,40.0,,,,,,veshnyaki,112.08
2024-12-05,34.0,,,,,,turist,97.06
2024-12-05,21.0,,,,,,shabol,69.72
2024-12-05,29.0,,,,,,novokosino,86.54
2024-12-05,33.0,,,,,,koptevo,94.95
2024-12-05,29.0,,,,,,proletarskiy,86.54
2024-12-05,30.0,,,,,,mgu,88.64
2024-12-05,16.0,,,,,,narod_op,59.2
2024-12-05,30.0,,,,,,bazovskaya,88.64
2024-12-05,10.0,,,,,,sukhar,41.67
2024-12-04,23.0,12.0,0.008,0.014,,1.0,mgu,73.92
2024-12-04,13.0,12.0,,0.017,,2.0,novokosino,52.89
2024-12-04,24.0,12.0,,0.016,0.001,,proletarskiy,76.03
2024-12-04,26.0,22.0,0.006,0.019,,4.0,zelen,80.23
2024-12-04,24.0,,,0.02,,1.0,koptevo,76.03
2024-12-04,12.0,11.0,,0.021,,2.0,narod_op,50.0
2024-12-04,7.0,46.0,,0.025,,3.0,sukhar,42.59
2024-12-04,23.0,,0.006,0.018,,1.0,turist,73.92
2024-12-04,15.0,9.0,,0.018,,1.0,zhulebino,57.1
2024-12-04,11.0,,,,,,cheremushki,45.83
2024-12-04,12.0,,,,,,spirid,50.0
2024-12-04,37.0,14.0,,0.021,0.001,2.0,veshnyaki,104.69
2024-12-04,23.0,,0.006,0.02,,1.0,bazovskaya,73.92
2024-12-04,15.0,12.0,0.014,0.024,,1.0,shabol,57.1
2024-12-04,21.0,,,,,,vernad,69.72
2024-12-04,21.0,10.0,,0.019,,2.0,ochakovskaya,69.72
2024-12-03,6.0,13.0,0.011,0.017,,2.0,sukhar,25.0
2024-12-03,21.0,,0.01,0.014,,1.0,bazovskaya,69.72
2024-12-03,14.0,6.0,,0.013,0.001,1.0,zhulebino,55.0
2024-12-03,21.0,6.0,,0.012,,1.0,vernad,69.72
2024-12-03,21.0,11.0,0.008,0.008,,2.0,mgu,69.72
2024-12-03,15.0,5.0,,0.016,,2.0,novokosino,57.1
2024-12-03,23.0,8.0,,0.012,,1.0,proletarskiy,73.92
2024-12-03,17.0,4.0,0.011,0.011,,2.0,spirid,61.3
2024-12-03,32.0,9.0,0.01,0.009,,2.0,zelen,92.85
2024-12-03,21.0,6.0,,0.017,,1.0,ochakovskaya,69.72
2024-12-03,12.0,6.0,0.014,0.016,,,shabol,50.0
2024-12-03,23.0,,,0.009,,1.0,koptevo,73.92
2024-12-03,13.0,5.0,,0.013,,2.0,narod_op,52.89
2024-12-03,34.0,13.0,,0.016,0.001,1.0,veshnyaki,97.06
2024-12-03,8.0,3.0,0.006,0.011,,1.0,cheremushki,33.33
2024-12-03,21.0,,0.01,0.01,,1.0,turist,69.72
2024-12-02,9.0,5.0,,0.015,,2.0,novokosino,37.5
2024-12-02,16.0,5.0,0.005,0.014,,1.0,shabol,59.2
2024-12-02,14.0,6.0,,0.013,0.001,1.0,zhulebino,55.0
2024-12-02,14.0,5.0,,0.015,,3.0,narod_op,55.0
2024-12-02,28.0,,0.011,0.009,,1.0,turist,84.44
